judul,isi,tanggal,kategori
"Tiga Pengeroyok di Cakung Ditangkap, Satu Lainnya Masih Buron","JAKARTA, KOMPAS.com - Jajaran Satreskrim Polres Metro Jakarta Timur menangkap tiga pelaku pengeroyokan di Jalan Raya Penggilingan, Cakung, Jakarta Timur, Senin (9/9/2024). ""Ditangani Satreskim Polres Metro Jakarta Timur. Ada tiga pelaku yang sudah ditahan,"" kata Humas Polres Metro Jakarta Timur AKP Lina saat dihubungi Kompas.com, Selasa (10/9/2024). Baca juga: Identifikasi Pengeroyok Tukang Cukur di Kota Bekasi, Polisi: Secepatnya Kami Tangkap Ada empat pelaku dalam kasus ini, tetapi satu di antaranya masih buron dan masuk daftar pencarian orang (DPO). Motif pengeroyokan diduga karena pelaku dan korban saling bertatapan di jalan. Pelaku tak terima dan menganiaya korban. Saat ini, polisi masih terus menyelidiki untuk mendalami motif lainnya. Dalam rekaman CCTV yang beredar di media sosial, peristiwa bermula saat dua pria menghentikan motornya di pinggir jalan. Kemudian, empat pria lain menghampiri keduanya dan mengeroyok. Warga yang berada di sekitar tempat kejadian berusaha melerai pengeroyokan tersebut. Kedua korban terluka di bagian kepala. Atas perbuatannya, pelaku dikenakan Pasal 170 dan/atau 351 KUHP tentang pengeroyokan dan penganiayaan. Kapolsek Cakung Kompol Panji Ali Candra mengatakan, korban sempat melapor ke Polsek Cakung sebelum kasus dilimpahkan ke Polres Metro Jakarta Timur. Baca juga: Suami yang Bunuh Istrinya di Pasar Minggu Sempat Dikeroyok Massa ""Sempat lapor ke Polsek Cakung, mengingat korbannya di bawah umur, ditangani Polres,"" ucap Panji. ","Kompas.com - 10/09/2024, 12:27 WIB",Megapolitan
Puan Beri Sinyal RUU Perampasan Aset Tak Diselesaikan Periode Ini,"JAKARTA, KOMPAS.com - Ketua DPR RI Puan Maharani memberikan sinyal tidak akan menuntaskan Rancangan Undang-Undang Perampasan Aset Tindak Pidana pada periode 2019-2024 ini. Puan menyebut masa kerja DPR periode 2019-2024 sudah tidak panjang lagi. ""Ini kan waktunya sudah pendek sekali. Dan nanti kan akan ada anggota DPR periode selanjutnya,"" kata Puan di Gedung MPR/DPR RI, Jakarta, Selasa (10/9/2024). Menurut dia, DPR saat ini akan fokus menuntaskan kerja-kerjanya di akhir masa periodenya. Diketahui, DPR RI periode 20219-2024 akan mengakhiri masa kerjanya pada 1 Oktober 2024. Baca juga: Sahroni Ingin Utamakan Pengembalian Kerugian Negara, ICW Sindir RUU Perampasan Aset Mandek di DPR ""Ini kita fokus dulu hal-hal yang harus kita selesaikan sampai tanggal 1 Oktober,"" tutur dia. Oleh karenanya, RUU Perampasan Aset kecil kemungkinannya di bahas di periode ini. ""Kita tunggu sampai pergantian periode selanjutnya sambil menyelesaikan hal-hal yang harus diselesaikan,"" ucap dia. Wakil Ketua Komisi III DPR RI Ahmad Sahroni menyatakan, Rancangan Undang-Undang Perampasan Aset Tindak Pidana tidak dapat disahkan di sisa masa jabatan DPR periode 2019-2024. Sahroni mengatakan, permintaan Presiden Jokowi agar RUU Perampasan Aset segera disahkan sulit terwujud karena masa jabatan anggota DPR periode 2019-2024 tersisa hitungan hari. ""Pak Jokowi ingin RUU Perampasan Aset segera diselesaikan. Tapi karena masa sidang tinggal beberapa hari lagi, kemungkinan besar pembahasan akan dilanjutkan pada periode sidang berikutnya,"" ujar Sahroni saat ditemui, Minggu (8/9/2024). Baca juga: Jawab Jokowi, Komisi III Sebut RUU Perampasan Aset Tak Bisa Segera Disahkan Politikus Partai Nasdem ini mengeklaim, keterbatasan waktu merupakan kendala utama untuk mengesahkan RUU Perampasan Aset. Ia menyebutkan, semua fraksi di DPR memerlukan waktu yang cukup untuk membahas secara mendalam berbagai aspek terkait RUU tersebut. ""Pengesahan UU ini memang mendesak, tapi proses pembahasannya harus komprehensif. Karena waktu sidang tinggal sedikit, kita harus realistis dan kemungkinan besar akan dilanjutkan pada masa sidang mendatang,"" kata Sahroni. ","Kompas.com - 10/09/2024, 12:26 WIB",Nasional
"PDI-P Duga Gugatan SK Kepengurusan Upaya Sabotase, Dikendalikan Auktor Intelektualis","JAKARTA, KOMPAS.com - Ketua Dewan Pimpinan Pusat (DPP) PDI-P Deddy Yevry Sitorus menilai, gugatan terhadap surat keputusan (SK) perpanjangan kepengurusan merupakan bentuk penyerangan terhadap PDI-P.  Sebab, gugatan tersebut sama sekali tidak dampak pada keuntungan ataupun kerugian moril dan materil bagi penggugat.  “ini bukan upaya hukum murni. Tidak ada kerugian apa pun, baik moril maupun materil bagi penggugat. Gugatan ini lebih kelihatan sebagai upaya penyerangan terhadap PDI-P,” ujar Deddy dalam keterangannya, Selasa (10/9/2024). Baca juga: PDI-P: Gugatan SK Kepengurusan PDI-P Sesat Logika, Tak Layak Diterima Deddy menduga ada auktor intelektualis yang memerintahkan para penggugat, dengan maksud ingin menggoyang atau menyabotase PDI-P.  Gugatan terhadap SK perpanjangan kepengurusan PDI-P juga kental dengan aroma politik karena kuasa hukum para penggugat diduga berafiliasi ke partai politik tertentu.  “Dan yang aneh, beberapa pengacara penggugatnya, menurut informasi terlihat berafiliasi dengan satu partai tertentu. Jadi menurut saya, aroma politiknya sangat terasa,” kata Deddy.  Dia pun mendesak agar pihak-pihak yang diduga menjadi dalang atas gugatan SK kepengurusan PDI-P untuk berhenti, atau tidak mencari masalah.  “Saya sarankan agar para otak kotor, atau mastermind dan dalang dari upaya sabotase PDI Perjuangan ini, untuk berpikir panjang dan tidak usah cari masalah,” ucap Deddy.  Diberitakan sebelumnya, SK perpanjangan kepengurusan PDI-P yang diterbitkan Kemenkumham digugat ke PTUN Jakarta. Baca juga: SK Perpanjangan Kepengurusan PDI-P Digugat Ke PTUN Jakarta Informasi mengenai gugatan ini dikonfirmasi pejabat Humas PTUN jakarta Yoyo dan telah teregistrasi dengan nomor 311/G/2024/PTUN.JKT.  “Iya. Betul (teregister dengan nomor perkara) 311,” kata Yoyo saat dikonfirmasi Kompas.com, Senin (9/9/2024).  Pejabat Humas PTUN Jakarta lainnya, Febrina Permadi juga mengonfirmasi SK tersebut digugat.  “Register nomor 311 ya betul,” ujar Febrina.  Berdasarkan penelusuran Kompas.com di Sistem Informasi Penlusuran Perkara (SIPP) PTUN Jakarta, gugatan itu didaftarkan hari ini dengan klasifikasi perkara Badan Hukum.  Dalam situs resmi itu disebutkan, penggugat terdiri dari lima orang, yakni Djupri, Jairi, Manto. Suwari, dan Sujoko dengan pihak tergugat Kementerian Hukum dan HAM.  Sejauh ini, gugatan belum bisa ditampilkan. Panitera pengganti, juru sita pengganti, dan tanggal sidang pertama juga belum ditetapkan.   Nama hakim ketua dan dua hakim anggota yang akan memimpin sidang juga belum bisa ditampilkan. ","Kompas.com - 10/09/2024, 12:24 WIB",Nasional
Jalan Jatiwaringin Bekasi Arah Jakarta Macet Imbas Proyek Galian,"BEKASI, KOMPAS.com - Arus lalu lintas di Jalan Jatiwaringin dari arah Bekasi ke Kalimalang Jakarta, macet, Selasa (10/9/2024). Dari pantauan Kompas.com pukul 08.30, kendaraan yang melintas dari arah Bekasi ke Jakarta cukup tersendat. Sedangkan dari arah Jakarta menuju Bekasi tidak terlalu padat, tetapi laju kendaraan melambat. Baca juga: Harapan FBR dan Bamus Betawi pada Pilkada Jakarta 2024, Solusi Konkret Atasi Banjir dan Macet Kemacetan tersebut imbas proyek galian di tengah ruas jalan. Di dekat SPBU Jatiwaringin, ada dua galian yang ditutup dengan beton pembatas. Pada seng pembatas berwarna putih itu terdapat tulisan ""Mohon maaf atas ketidaknyamanannya, sedang dilakukan upaya peningkatan layanan air perpipaan"". Di dekat tulisan itu, ada lambang Pemerintah Provinsi Jakarta dan PAM Jaya. Ujung proyek galian berada dekat pintu Tol Pondok Gede Barat dan dan di depan SPBU Jatiwaringin. Kedua galian tersebut menutup satu lajur. Semestinya, jalanan ini bisa dilewati dua kendaraan bersisian, tetapi kini hanya bisa dilintasi sebaris kendaraan sehingga memicu kemacetan. Beberapa pengendara motor melintas di trotoar untuk menghindari kemacetan. Suara klakson mobil maupun motor bersahutan agar pengendara di depannya mempercepat laju kendaraan. Panjang kemacetan itu diperkirakan mencapai 500 meter, dimulai dari dekat pintu Tol Pondok Gede Barat. Pengendara motor bernama Sandi (32) mengeluhkan kemacetan imbas galian tersebut. Baca juga: Lara Sopir Taksi Online di Bekasi: Dibegal Penumpang di Tol Jatiasih, Mobil dan Ponsel Raib Dibawa Pelaku ""Salah satunya penyebab kemacetan ya proyek galian PAM, karena setiap hari jalan di sini padat jalur sini. Terutama dari Bekasi ke Jakarta (Kalimalang) itu padat sekali,"" kata Sandi di depan SPBU Jatiwaringin, Selasa. Selain itu, Sandi menjadi sering telat sampai ke kantor karena terjebak macet di jalan. ""Pasti lah, sering telat ke kantor. Ya, menyiasati dengan berangkat lebih maju. Jadi yang biasanya berangkat jam 07.00 WIB, ini harus lebih cepat,"" ucap Sandi. ","Kompas.com - 10/09/2024, 12:17 WIB",Megapolitan
Nasib Taruna Akpol Usai Dipecat karena Lawan Pengasuhnya," JAKARTA, KOMPAS.com - Taruna Akpol berinisial BVA yang terlibat adu mulut dan adu fisik dengan pengasuhnya kini telah diberhentikan secara tidak hormat.  Gubernur Akademi Kepolisian (Akpol) Irjen Krisno Siregar mengatakan, saat ini BVA sudah dipulangkan, usai menjalani sidang dewan akademik.  “Sudah dilakukan sidang dewan akademik, dan taruna tersebut sudah dipulangkan,” kata Krisno saat dihubungi Kompas.com, Selasa (10/9/2024). Baca juga: Taruna Akpol Nekat Lawan Pengasuhnya, Akan Diberi Sanksi Akademik  Sidang dewan akademik merupakan proses internal dalam memutuskan sanksi, terkait dengan pelanggaran kode etik dan disiplin oleh taruna.  Jika taruna terbukti bersalah melanggar kode etik maupun aturan disiplin, taruna tersebut akan mendapatkan sanksi pemberhentian tidak dengan hormat atau PTDH.  PTDH juga berlaku dalam institusi TNI dan bagi Pegawai Negeri Sipil (PNS). PTDH bagi anggota Polri Mengacu pada Peraturan Kapolri Nomor 14 Tahun 2011 tentang Kode Etik Profesi Polri. Baca juga: Taruna yang Lawan Pengasuhnya Dikeluarkan dari Akpol  Pengamat kepolisian dari Institute for Security and Strategic Studies (ISESS) Bambang Rukminto mengatakan, taruna Akpol sejak masuk sudah terikat dengan kode etik dan disiplin Polri.  “Ketika melakukan pelanggaran berat atau pidana, tentu sanksinya adalah PTDH,” ujar Bambang.  Bambang juga membenarkan bahwa dengan embel - embel PDTH, akan sulit bagi seseorang untuk memulai lagi bergabung di akademi kedinasan. Walau demikian, tentu kebijakan tersebut menyesuaikan dengan masing-masing instansi.  “Ya pasti lah (sulit). Wong sudah dipecat. Ya dia melakukan kesalahan harusnya sudah paham resikonya,” lanjut Bambang.  Bambang menegaskan, taruna Akpol yang melanggar memang selayaknya diberhentikan dan tidak diberikan kesempatan untuk berkarir di dunia kepolisian.  “Oknum taruna Akpol yang melakukan pelanggaran ya memang layak dipecat, dan tak diberi tempat di kepolisian. Jangankan masih taruna, yang sudah dinas juga bisa dipecat,” tegas dia.  Baca juga: Dua Jenderal Bintang 3 Polri yang Bukan Lulusan Akpol, Siapa Saja?  Sebelumnya, Beredar video memperlihatkan seorang Taruna Akpol berinisial BVA yang nekat melawan perwira pengasuhnya. Dalam video yang viral di media sosial, keduanya tampak terlibat adu mulut dan adu fisik.  Kronologi kejadian berawal saat Brigadir Taruna BVA ingin berobat, namun ia kembali melewati batasan jam malam. Selain itu, pengasuh juga menemukan sebuah laptop yang dibawa oleh BVA. Padahal,seharusnya taruna Akpol tak boleh membawa laptop.  Dalam video viral tersebut, taruna Akpol berusaha merebut laptopnya yang hendak ditahan oleh perwira pengasuh. Bahkan, taruna itu sempat mendorong pengasuhnya hingga terjatuh. Aksinya baru berhenti setelah dilerai dan diperingatkan oleh perwira lain.  ","Kompas.com - 10/09/2024, 12:16 WIB",Nasional
"Jokowi Resmikan Ruas 2 Ruas Tol di Sumut, Telan Anggaran Rp 17,6 Triliun","JAKARTA, KOMPAS.com - Presiden Joko Widodo meresmikan sejumlah ruas jalan tol dalam kunjungan kerjanya ke Provinsi Sumatera Utara, Selasa (10/9/2024). Adapun ruas tol yang diresmikan tersebut adalah jalan tol ruas Binjai-Langsa seksi II Stabat Tanjung Pura, dan jalan tol ruas Kuala Tanjung-Tebing Tinggi-Parapat (Kutepat) seksi III dan IV yaitu Tebing Tinggi-Serbelawan-Sinaksak. ""Dengan mengucap bismillahirrahmanirrahim pada pagi hari ini saya resmikan jalan tol ruas Binjai-Langsa seksi II Stabat-Tanjung Pura dan jalan tol ruas Kuala Tanjung-Tebing Tinggi-Parapat seksi III dan IV Tebing Tinggi-Serbelawan-Sinaksak di Provinsi Sumatera Utara,"" kata Jokowi dikutip dari tayangan YouTube Sekretariat Presiden, Selasa. Kepala Negara merinci, ruas tol Binjai-Langsa seksi 2 Stabat-Tanjung Pura dibangun sejak tahun 2020. Ruas sepanjang kilometer itu dibangun dengan anggaran Rp 11,6 triliun. Baca juga: Ungkap Kegiatan Berkantor di IKN, Jokowi: Rapat Menteri, Menerima Tamu, hingga Groundbreaking  Sementara, ruas tol Kuala Tanjung-Tebing Tinggi-Parapat (Kutepat) seksi 3 dan 4 sepanjang 45,6 kilometer ini dibangun sejak 2018 dan menghabiskan anggaran Rp 6 triliun. ""Jalan tol ini akan menjadi bagian dari jalan Tol Trans Sumatera sepanjang 2.994 kilometer,"" ucapnya. Jalan tol ini kata Jokowi, akan memangkas waktu tempuh dari 3,5 - 4 jam dari Medan, Sumatera Utara, menjadi hanya sekitar 1,5 jam. Ia berharap, jalan Tol Trans Sumatera sudah tembus 1.100 kilometer hingga akhir tahun ini. ""Khusus untuk jalan tol ini tinggal 40 km lagi sampai ke Parapat di Danau Toba, tinggal sedikit sekali,"" bebernya. Baca juga: Tak Sepenuhnya Berkantor di IKN hingga Purnatugas, Jokowi: Saya Muter ke Semua Daerah Lebih lanjut ia mengungkapkan, keberadaan jalan tol akan mendorong tumbuhnya pusat-pusat pertumbuhan ekonomi baru di koridor Binjai Langsa dan Tebing Tinggi-Parapat. ""Dan akan menambah daya saing daerah dan sistem logistik mobilitas orang, mobilitas barang, akan semakin cepat sehingga kita bisa bersaing dengan negara negara lain,"" jelasnya. ","Kompas.com - 10/09/2024, 12:15 WIB",Nasional
"Datang ke Rumah Rano Karno, Warga Silih Berganti Sampaikan Aspirasi","JAKARTA, KOMPAS.com - Bakal calon wakil gubernur (bacawagub) Jakarta Rano Karno menerima kunjungan Forum Relawan Demokrasi (Foreder) dan warga Jakarta Utara untuk menampung aspirasi mereka. ""Ya, Alhamdulillah, semakin banyak masyarakat Jakarta yang berkunjung, menyampaikan aspirasi dan memberikan dukungannya. Itu membuat kita bahagia lah,"" kata Rano saat diwawancara awak media di Warung Garasi Si Doel, Lebak Bulus, Jakarta Selatan, Selasa (10/9/2024). Pertemuan itu terbagi menjadi dua sesi dan dilakukan di rumah joglo yang ada di halaman rumahnya. Baca juga: Janji-janji Rano Karno Tuntaskan Polemik Kampung Susun Bayam jika Menang Pilkada...Berdasarkan pantauan Kompas.com di lokasi, puluhan anggota Foreder sudah memenuhi Warung Garasi Si Doel sejak pukul 09.30 WIB. Sekitar pukul 10.00 WIB, beberapa perwakilan anggota Foreder melakukan diskusi secara tertutup dengan Rano di rumah joglo yang ada di halaman rumahnya. Sementara perwakilan warga Jakarta Timur mulai mendatangi Warung Garasi Si Doel sekitar pukul 10.30 WIB. Selanjutnya, beberapa warga masuk ke rumah joglo untuk melakukan diskusi secara tertutup. Kemudian, sekitar pukul 10. 50 WIB, Rano bersama perwakilan Foreder dan warga Jakarta Timur ke luar dari rumah joglo. Baca juga: Soal Gerakan Coblos 3 Paslon Pilkada Jakarta, Rano Karno: Rugi, Suaranya Terbuang Percuma   Rano terlihat menggunakan kemeja berlengan pendek berwarna biru yang dipadupadankan dengan celana bahan hitam. Dalam pertemuan itu, kata Rano, dia menyampaikan berbagai visi dan misinya. ""Sekali lagi, kami tadi berdiskusi dan kita juga saya bicara tentang visi misi. Mudah-mudahan dalam waktu yang dekat ini, masyarakat Jakarta bisa bergerak dan bisa menyampaikan hak aspirasinya melalui sebuah pilkada yang sangat bahagia,"" ujar Rano. ","Kompas.com - 10/09/2024, 12:07 WIB",Megapolitan
Jalan Panjang Pemulihan Nama Baik Soekarno Akibat TAP MPRS 33/1967,"JAKARTA, KOMPAS.com - Pencabutan Ketetapan Majelis Permusyawaratan Rakyat Sementara (TAP MPRS) Nomor 33 Tahun 1967 menjadi penutup babak panjang ketidakadilan yang dialami Soekarno, sekaligus mengembalikan posisinya sebagai pahlawan nasional tanpa dibayangi oleh tuduhan yang tidak berdasar. Langkah ini memberikan kesempatan bagi bangsa Indonesia untuk mengakui kembali peran besar Soekarno dalam sejarah tanpa bayang-bayang kontroversi politik. TAP MPRS Nomor 33/1967 menjadi tonggak sejarah penting dalam peralihan kekuasaan dari Presiden Soekarno menuju Orde Baru. Penetapan ini mencabut kekuasaan pemerintahan dari Presiden Soekarno dan terjadi di tengah krisis politik yang memuncak setelah peristiwa Gerakan 30 September (G30S) 1965. Keputusan ini diambil setelah adanya ketidakpuasan dari berbagai pihak terkait kebijakan yang diambil oleh Soekarno selama peristiwa G30S. Baca juga: TAP MPR 33 Tahun 1967 Resmi Dicabut, Tuduhan Soekarno Berkhianat dan Dukung PKI Tak Terbukti Pada 1966, Majelis Permusyawaratan Rakyat Sementara (MPRS) menggelar Sidang Umum, meminta Soekarno memberikan pertanggungjawaban atas kebijakan yang diambil selama krisis nasional. Soekarno menyampaikan pidato pertanggungjawaban yang kemudian dikenal sebagai Nawaksara pada 22 Juni 1966. Namun, pidato tersebut dianggap tidak memenuhi harapan banyak pihak karena tidak memuat pertanggungjawaban rinci terkait keterlibatannya dalam peristiwa G30S dan situasi nasional saat itu. Setelah pidato Nawaksara ditolak, Soekarno mengajukan laporan tertulis tambahan yang disebut Pelengkap Nawaksara pada Januari 1967. Namun, laporan ini kembali dianggap tidak memadai oleh MPRS. Sebagai hasil dari ketidakpuasan ini, Sidang Istimewa MPRS pada 7 hingga 12 Maret 1967 menetapkan TAP MPRS Nomor 33, mencabut kekuasaan pemerintahan dari Soekarno. Keputusan ini didasarkan pada laporan Panglima Operasi Pemulihan Keamanan yang menyebutkan kebijakan Soekarno dianggap memberi keuntungan pada pihak yang terlibat dalam G30S, khususnya Partai Komunis Indonesia (PKI). Baca juga: MPR Komitmen Pulihkan Nama Soekarno, Termasuk Hak-haknya Pencabutan kekuasaan Soekarno tidak hanya mengakhiri kepemimpinan politiknya tetapi juga meninggalkan stigma yang terus melekat pada dirinya selama bertahun-tahun. Soekarno dianggap bersalah tanpa melalui proses pengadilan yang sah. Tuduhan terhadap dirinya, terutama terkait dukungan terhadap PKI, tidak pernah dibuktikan secara hukum. Hal ini menimbulkan ketidakadilan dalam pandangan sejarah bangsa. Baru pada 2003, TAP MPR Nomor 1 memberikan mandat untuk meninjau kembali status hukum TAP MPRS 33/1967. MPR mulai mengkaji ulang berbagai keputusan terkait periode tersebut sebagai langkah awal untuk memulihkan nama baik Soekarno. Upaya ini dilanjutkan dengan pencabutan resmi TAP MPRS Nomor 33/1967 pada 9 September 2024. Baca juga: Guntur Minta Nama Soekarno Direhabilitasi dari Tuduhan Pengkhianat Bangsa ""Pencabutan ini menjadi momen penting dalam pemulihan nama baik Presiden Soekarno. Tuduhan yang selama ini dilemparkan tidak pernah dibuktikan di depan hukum,"" kata Ketua MPR Bambang Soesatyo dalam acara penyerahan surat pencabutan TAP kepada keluarga Bung Karno, di Jakarta, Senin (9/9/2024). Langkah ini menegaskan tidak ada bukti yuridis terkait keterlibatan Soekarno dalam pemberontakan G30S. Selain pemulihan nama baik, pencabutan TAP MPRS ini juga mengembalikan hak-hak Soekarno sebagai mantan kepala negara. Hak-hak tersebut, kata Bamsoet, mencakup perumahan dan fasilitas lainnya yang sebelumnya diberikan kepada presiden-presiden Indonesia. Baca juga: Sekjen Gerindra dan PDI-P Saling Rangkul di MPR, Sebut Ada Obrolan Khusus ""Pemulihan hak-hak Bung Karno adalah bentuk penghargaan terhadap kontribusi besar beliau dalam kemerdekaan Indonesia,"" ujar lelaki disapa Bamsoet itu. ","Kompas.com - 10/09/2024, 12:07 WIB",Nasional
Puan Benarkan Rencana Pertemuan Megawati-Prabowo,"JAKARTA, KOMPAS.com - Ketua DPP Partai Demokrasi Indonesia Perjuangan (PDI-P) Puan Maharani membenarkan soal rencana pertemuan antara Ketua Umum PDI-P Megawati Soekarnoputri dengan Presiden Terpilih RI, Prabowo Subianto.  Namun demikian, Puan enggan memastikan waktu pertemuan tersebut.  ""Ya akan (ada pertemuan), insya Allah. Ya nanti kalau sudah pada waktunya teman-teman media pasti juga pada tahu,"" kata Puan saat di Kompleks Parlemen, Senayan, Jakarta, Selasa (10/9/2024). Baca juga: Gerindra: Megawati-Prabowo Insya Allah Bertemu Sebelum Pelantikan Presiden  Ketua DPR RI ini juga enggan merincikan soal pembahasan rencana pertemuan itu.  Menurut dia, pertemuan terkait Prabowo dan Presiden Ke-5 RI itu hanya sekadar silaturahmi.  ""Silaturahmi penting, akan ada pertemuan, insya Allah iya. Bahwa akan ada pembicaraan ke situ, kita tunggu saja,"" ucap Puan.  Terkait wacana ini, Sekretaris Jenderal Partai Gerindra sekaligus Wakil Ketua MPR, Ahmad Muzani mengungkapkan bahwa Megawati menitipkan pesan dan salam hormat kepada Ketua Umum Partai Gerindra sekaligus presiden terpilih, Prabowo Subianto.  Dia sendiri mengungkapkan apakah ada pembicaraan politik di antara keduanya, termasuk membahas kemungkinan PDI-P bergabung ke dalam kabinet yang akan dipimpin Menteri Pertahanan mendatang. Baca juga: Jelang Debat Perdana, Muzani Sebut Prabowo-Gibran Tidak Ada Persiapan Khusus  Muzani mengungkap ini usai MPR menyerahkan surat resmi tentang tidak berlakunya Tap MPRS Nomor XXXIII/MPRS/1967 tentang Pencabutan Kekuasaan Negara dari Presiden Soekarno, kepada keluarga besar Soekarno pada 9 September 2024.  “Ibu Mega tadi menyampaikan salah hormat untuk Pak Prabowo, dan Pak Prabowo juga menyampaikan salam hormat untuk Ibu Mega,” kata Muzani sembari tersenyum. Hanya saja, Muzani memastikan bahwa Prabowo berencana bertemu Megawati dalam waktu dekat.   Bahkan, menurut dia, pertemuan itu akan berlangsung sebelum Prabowo dilantik sebagai presiden definitif pada 20 Oktober mendatang.  “Insya Allah akan terjadi (pertemuan). Mudah-mudahan (sebelum pelantikan),” ujar dia. ","Kompas.com - 10/09/2024, 11:59 WIB",Nasional
"PDI-P: Gugatan SK Kepengurusan PDI-P Sesat Logika, Tak Layak Diterima","JAKARTA, KOMPAS.com - Ketua Dewan Pimpinan Pusat (DPP) PDI-P Deddy Yervy Sitorus mengatakan, gugatan terhadap Surat Keputusan (SK) perpanjangan kepengurusan partainya adalah tindakan yang sesat logika. Deddy menilai gugatan tersebut tidak layak difasilitasi oleh Pengadilan Tata Usaha Negara (PTUN).  “Sesat logika ini harus dihentikan dan tidak boleh difasilitasi, apalagi kalau motivasinya adalah politik,” ujar Deddy dalam keterangannya, Selasa (10/9/2024).  Deddy menegaskan bahwa perpanjangan kepengurusan DPP PDI-P sudah dikaji secara matang dan sesuai dengan aturan dan konstitusi partai.  “Perpanjangan kepengurusan juga sudah melalui proses pembahasan dan pengkajian hukum di Kemenkumham,” kata Deddy.  Baca juga: SK Perpanjangan Kepengurusan PDI-P Digugat Ke PTUN Jakarta  Diberitakan sebelumnya, SK perpanjangan kepengurusan PDI-P yang diterbitkan Kemenkumham digugat ke PTUN Jakarta.  Informasi mengenai gugatan ini dikonfirmasi pejabat Humas PTUN jakarta Yoyo dan telah teregistrasi dengan nomor 311/G/2024/PTUN.JKT.  “Iya. Betul (teregister dengan nomor perkara) 311,” kata Yoyo saat dikonfirmasi Kompas.com, Senin (9/9/2024).  Pejabat Humas PTUN Jakarta lainnya, Febrina Permadi juga mengkonfirmasi SK tersebut digugat.  “Register nomor 311 ya betul,” ujar Febrina.  Baca juga: Istana Bantah Jokowi Bentuk Tim untuk Kaji Kepengurusan PDI-P  Berdasarkan penelusuran Kompas.com di Sistem Informasi Penlusuran Perkara (SIPP) PTUN Jakarta, gugatan itu didaftarkan hari ini dengan klasifikasi perkara Badan Hukum.  Dalam situs resmi itu disebutkan penggugat terdiri dari lima orang yakni, Djupri, Jairi, Manto. Suwari, dan Sujoko dengan pihak tergugat Kementerian Hukum dan HAM.  Sejauh ini, gugatan belum bisa ditampilkan. Panitera pengganti, juru sita pengganti, dan tanggal sidang pertama juga belum ditetapkan.  Nama hakim ketua dan dua hakim anggota yang akan memimpin sidang juga belum bisa ditampilkan. ","Kompas.com - 10/09/2024, 11:55 WIB",Nasional
